Fecha Desde;Fecha Hasta;Importe Mnda original
01/01/2020;31/01/2020; 77.000,00 
01/02/2020;29/02/2020; 77.000,00 
01/03/2020;31/03/2020; 77.000,00 
01/04/2020;30/04/2020; 77.000,00 
01/05/2020;31/05/2020; 77.000,00 
01/06/2020;30/06/2020; 77.000,00 
01/07/2020;31/07/2020; 77.000,00 
01/08/2020;31/08/2020; 90.000,00 
01/09/2020;30/09/2020; 90.000,00 
01/10/2020;31/10/2020; 90.000,00 
01/11/2020;30/11/2020; 90.000,00 
01/12/2020;31/12/2020; 90.000,00 
01/01/2021;31/01/2021; 90.000,00 
01/02/2021;28/02/2021; 103.500,00 
01/03/2021;31/03/2021; 103.500,00 
01/04/2021;30/04/2021; 103.500,00 
01/05/2021;31/05/2021; 103.500,00 
01/06/2021;30/06/2021; 103.500,00 
01/07/2021;31/07/2021; 103.500,00 
01/08/2021;31/08/2021; 119.025,00 
01/09/2021;30/09/2021; 119.025,00 
01/10/2021;31/10/2021; 119.025,00 
01/11/2021;30/11/2021; 119.025,00 
01/12/2021;31/12/2021; 119.025,00 
01/01/2022;31/01/2022; 119.025,00 
01/02/2022;28/02/2022; 136.879,00 
01/03/2022;31/03/2022; 136.879,00 
01/04/2022;30/04/2022; 136.879,00 
01/05/2022;31/05/2022; 136.879,00 
01/06/2022;30/06/2022; 136.879,00 
01/07/2022;31/07/2022; 136.879,00 
01/08/2022;31/08/2022; 157.411,00 
01/09/2022;30/09/2022; 157.411,00 
01/10/2022;31/10/2022; 157.411,00 
01/11/2022;30/11/2022; 157.411,00 
01/12/2022;31/12/2022; 157.411,00 
01/01/2023;31/01/2023; 157.411,00 
01/02/2023;28/02/2023; 181.022,00 
01/03/2023;31/03/2023; 181.022,00 
01/04/2023;30/04/2023; 181.022,00 
01/05/2023;31/05/2023; 181.022,00 
01/06/2023;30/06/2023; 181.022,00 
01/07/2023;31/07/2023; 181.022,00 
